Code,DisplayName,Group,Resource,Action,Product
safe.datalibrary.read,Read Data Library,Data Library,Data Library,Read,AG ONE Safe
safe.datalibrary.update,Update Data Library,Data Library,Data Library,Update,AG ONE Safe
safe.datalibrary.delete,Delete Data Library,Data Library,Data Library,Delete,AG ONE Safe
pulse.survey.create,Create Survey,Surveys,Survey,Create,AG ONE Pulse
pulse.survey.read,Read Survey,Surveys,Survey,Read,AG ONE Pulse
pulse.survey.update,Update Survey,Surveys,Survey,Update,AG ONE Pulse
pulse.survey.delete,Delete Survey,Surveys,Survey,Delete,AG ONE Pulse
pulse.analytics.read,Read Analytics,Analytics,Analytics,Read,AG ONE Pulse
spot.city.create,Create City Data,City Management,City Data,Create,AG ONE Spot
spot.city.read,Read City Data,City Management,City Data,Read,AG ONE Spot
spot.city.update,Update City Data,City Management,City Data,Update,AG ONE Spot
spot.city.delete,Delete City Data,City Management,City Data,Delete,AG ONE Spot
